Timestamp,Mode,Knee_Angle,Trunk_Angle,Quad_Force_N,Status
14:28:45,sitting,25.4,3.4,352.0,Ошибка: Угол ног в кресле
14:28:45,sitting,25.6,5.1,352.0,Ошибка: Угол ног в кресле
14:28:45,sitting,26.5,3.8,352.0,Ошибка: Угол ног в кресле
14:28:45,sitting,27.4,6.1,352.0,Ошибка: Угол ног в кресле
14:28:45,sitting,26.2,6.6,352.0,Ошибка: Угол ног в кресле
14:28:45,sitting,25.3,6.9,352.0,Ошибка: Угол ног в кресле
14:28:45,sitting,25.5,5.1,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,28.5,4.5,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,27.2,3.4,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,27.1,3.1,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,29.0,4.2,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,29.3,4.0,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,24.7,6.1,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,25.3,6.3,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,25.8,6.9,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,25.0,6.9,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,25.7,7.2,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,27.0,7.5,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,27.7,7.5,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,29.3,7.4,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,29.1,7.1,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,27.4,4.1,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,26.6,5.2,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,25.0,5.6,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,22.9,6.0,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,22.6,3.4,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,23.7,5.0,352.0,Ошибка: Угол ног в кресле
14:28:46,sitting,23.2,6.1,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,25.3,6.1,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,26.3,6.3,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,24.7,6.3,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,24.4,6.5,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,24.4,6.4,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,22.2,3.6,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,21.5,4.1,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,24.0,4.6,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,23.8,5.4,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,25.1,5.8,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,26.7,5.9,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,30.4,6.2,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,33.1,6.6,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,34.0,6.5,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,34.0,6.6,352.0,Ошибка: Угол ног в кресле
